filing_year,filing_period,issue_code,total_spend,quarter,issue_display
2022,second_quarter,ACC,2261702.3479225026,2,Accounting
2025,first_quarter,TOU,3414823.9554764233,1,Travel/Tourism
2025,third_quarter,ROD,2034789.466672217,3,Roads/Highway
2023,second_quarter,GAM,2126084.0952380956,2,Gaming/Gambling/Casino
2023,third_quarter,ART,1402804.9165409754,3,Arts/Entertainment
2026,first_quarter,FOO,9627967.242273746,1,"Food Industry (safety, labeling, etc.)"
2025,fourth_quarter,UTI,4545366.895642627,4,Utilities
2024,third_quarter,RES,2514400.5827910653,3,Real Estate/Land Use/Conservation
2024,fourth_quarter,MIA,2121386.904761905,4,Media (information/publishing)
2024,second_quarter,FOR,13063363.87782396,2,Foreign Relations
2024,third_quarter,COM,14277801.883482123,3,Communications/Broadcasting/Radio/TV
2025,fourth_quarter,ART,1336788.8293024753,4,Arts/Entertainment
2022,third_quarter,ADV,1024177.6955691368,3,Advertising
2022,third_quarter,UTI,3652808.9737974443,3,Utilities
2023,first_quarter,FAM,1175191.9540011073,1,Family issues/Abortion/Adoption
2023,second_quarter,WEL,656510.697747663,2,Welfare
2024,first_quarter,RRR,4422167.465894193,1,Railroads
2025,fourth_quarter,ALC,1722891.423076923,4,Alcohol and Drug Abuse
2023,second_quarter,UTI,4973754.51093971,2,Utilities
2022,third_quarter,CIV,10172127.816306083,3,Civil Rights/Civil Liberties
2022,third_quarter,FIR,4148391.0814540363,3,Firearms/Guns/Ammunition
2023,fourth_quarter,INT,3360390.4633799107,4,Intelligence
2022,third_quarter,DIS,7674306.840071142,3,Disaster Planning/Emergencies
2023,first_quarter,TAR,2213450.2563372618,1,Tariff (miscellaneous tariff bills)
2025,second_quarter,BEV,1752571.6190476192,2,Beverage Industry
2023,second_quarter,FIR,4429947.2743791295,2,Firearms/Guns/Ammunition
2022,second_quarter,TOB,5201586.82170444,2,Tobacco
2023,third_quarter,UNM,241795.38372738374,3,Unemployment
2024,fourth_quarter,BEV,1795736.1794871797,4,Beverage Industry
2024,fourth_quarter,TAR,2715925.833224981,4,Tariff (miscellaneous tariff bills)
2023,second_quarter,ALC,1522730.9703663005,2,Alcohol and Drug Abuse
2026,first_quarter,BEV,1984690.476190476,1,Beverage Industry
2026,first_quarter,FAM,986514.2382896515,1,Family issues/Abortion/Adoption
2022,fourth_quarter,INS,15739241.409206608,4,Insurance
2025,fourth_quarter,WEL,727127.4155844157,4,Welfare
2025,fourth_quarter,CIV,10769382.361465786,4,Civil Rights/Civil Liberties
2025,fourth_quarter,FIR,4007893.6590533652,4,Firearms/Guns/Ammunition
2023,second_quarter,ART,1938133.7175872372,2,Arts/Entertainment
2022,second_quarter,MON,192039.59999999998,2,Minting/Money/Gold Standard
2023,fourth_quarter,POS,2422207.4851477025,4,Postal
